config_id,performance,budget,budget_used,total_wallclock_time,total_optimization_time,agent.batch_size,agent.buffer_capacity,agent.dqn_hidden_size,agent.dqn_lr,agent.dqn_target_update_freq,agent.epsilon_decay,agent.epsilon_final,agent.gamma
3,0.1156041287188828,60000.0,180000.0,473.0884280204773,0.001085042953491211,256,63922,64,0.0004819766452,650,66643,0.1533440326382,0.9582233422244
3,0.1156041287188828,60000.0,360000.0,787.426187992096,0.009936094284057617,256,63922,64,0.0004819766452,650,66643,0.1533440326382,0.9582233422244
3,0.1156041287188828,60000.0,540000.0,1117.6195900440216,0.2798328399658203,256,63922,64,0.0004819766452,650,66643,0.1533440326382,0.9582233422244
17,0.07697222222222222,60000.0,760000.0,1798.931913137436,0.29089784622192383,256,62178,32,0.0004834222652,568,33329,0.2375098631302,0.9551673944307
21,0.06945281124497993,60000.0,940000.0,2433.812595129013,0.6039829254150391,256,68554,64,0.0004980743328,161,35799,0.152687807686,0.9610555414401
21,0.06945281124497993,60000.0,1160000.0,3069.1042852401733,0.6172399520874023,256,68554,64,0.0004980743328,161,35799,0.152687807686,0.9610555414401
34,0.06822982678495987,60000.0,1380000.0,3815.6073582172394,1.1204297542572021,256,68554,64,0.0004980743328,135,35799,0.1283867672898,0.9623279740555
34,0.06822982678495987,60000.0,1560000.0,4378.935826063156,1.1336629390716553,256,68554,64,0.0004980743328,135,35799,0.1283867672898,0.9623279740555
40,0.06346801346801346,60000.0,1740000.0,4861.2820880413055,1.5492138862609863,256,51566,64,0.0004353798068,293,35371,0.0920161491646,0.9672373284899
46,0.05549687010954617,60000.0,1960000.0,5604.517949104309,1.5631747245788574,256,70390,64,0.0005272439916,117,23295,0.1224522264268,0.9625768952632
